26668134 | Negative_Correlation | Smoldering Multiple Myeloma | IL2
26668134 | Negative_Correlation | Smoldering Multiple Myeloma | CCR5
26668134 | Negative_Correlation | Smoldering Multiple Myeloma | IL2RA
26668134 | Negative_Correlation | Smoldering Multiple Myeloma | TNF
26668134 | Negative_Correlation | Lenalidomide | Smoldering Multiple Myeloma
26668134 | Association | Smoldering Multiple Myeloma | IFNGR1
26668134 | Negative_Correlation | Smoldering Multiple Myeloma | ICAM1
31428524 | Positive_Correlation | CCR5 | PDCD1
31428524 | Association | Liver Diseases | CCL5
31428524 | Association | Neoplasm Metastasis | CCR5
31428524 | Association | Neoplasms | CCL5
31428524 | Association | Liver Diseases | CCR5
31428524 | Bind | CCR5 | CCL5
31428524 | Negative_Correlation | Maraviroc | CCR5
31428524 | Association | Colorectal Neoplasms | CCR5
31428524 | Association | Colorectal Neoplasms | CCL5
31428524 | Positive_Correlation | CCR5 | CTLA4
31428524 | Positive_Correlation | Euthyroid Sick Syndromes | CCR5
31428524 | Association | Neoplasms | CCR5
31428524 | Association | Neoplasms | PDCD1
38551451 | Positive_Correlation | HIV Infections | p.K103N
38551451 | Positive_Correlation | HIV Infections | p.M184V
38551451 | Positive_Correlation | p.M184V | HIV Infections
38551451 | Positive_Correlation | Disease Resistance | p.M184V
38551451 | Positive_Correlation | Zidovudine | HIV Infections
38551451 | Positive_Correlation | HIV Infections | p.M41L
38551451 | Positive_Correlation | HIV Infections | p.S68G
38551451 | Positive_Correlation | Nevirapine | HIV Infections
38551451 | Positive_Correlation | Lamivudine | HIV Infections
38551451 | Association | HIV Infections | CD4
38551451 | Association | Disease Resistance | CD4
22133596 | Association | Ileal Neoplasms | CA9
22133596 | Association | Hypoxia Brain | CA9
22133596 | Association | Hypoxia | CXCR4
22133596 | Association | Ileal Neoplasms | CXCR4
22133596 | Association | Hypoxia Brain | CXCR4
22133596 | Association | Hypoxia | CA9
37724517 | Association | Respiratory Tract Diseases | S
37724517 | Association | COVID-19 | S
38374756 | Association | Alzheimer Disease | CD8A
38374756 | Association | Alzheimer Disease | CD4
38374756 | Positive_Correlation | Alzheimer Disease | VCAM1
38374756 | Association | Alzheimer Disease | GJA1
38374756 | Positive_Correlation | Alzheimer Disease | CCL2
38374756 | Association | Alzheimer Disease | CXCR4
38374756 | Association | Alzheimer Disease | CD44
38374756 | Positive_Correlation | Alzheimer Disease | ANGPT1
38374756 | Association | VCAM1 | CD8A
37417915 | Association | Pulmonary Disease Chronic Obstructive | Cxcr4
37417915 | Negative_Correlation | astragaloside A | Cxcr4
37417915 | Positive_Correlation | astragaloside A | Il6
37417915 | Negative_Correlation | astragaloside A | Cd4
37417915 | Negative_Correlation | astragaloside A | Pneumonia
37417915 | Negative_Correlation | astragaloside A | Pulmonary Disease Chronic Obstructive
37417915 | Positive_Correlation | astragaloside A | Il1b
37417915 | Positive_Correlation | astragaloside A | Il10
37417915 | Positive_Correlation | astragaloside A | Foxp3
37417915 | Negative_Correlation | astragaloside A | Il17a
37417915 | Positive_Correlation | astragaloside A | Tnf
38420260 | Association | Acquired Immunodeficiency Syndrome | CD4
16146542 | Association | Leukemia | GZMB
16146542 | Association | Leukemia T-Cell | PTPRC
16146542 | Association | Leukemia | CD38
16146542 | Association | Leukemia | CD40
16146542 | Association | Leukemia | PTPRC
16146542 | Association | Leukemia | CD68
16146542 | Association | Leukemia | IL3RA
16146542 | Association | Leukemia | CLEC4C
16146542 | Association | Leukemia | CXCR4
9353427 | Negative_Correlation | Lymphatic Metastasis | HLA-A
9353427 | Association | Stomach Neoplasms | SRSF6
9353427 | Positive_Correlation | Lymphatic Metastasis | SRSF6
23663759 | Association | PDCD1 | CD8A
23663759 | Association | Hepatitis B | CD8A
23663759 | Association | Hepatitis B | PDCD1
9770524 | Association | ITIH4 | CD4
9770524 | Association | Acquired Immunodeficiency Syndrome | CD4
9770524 | Association | CXCL12 | CXCR4
9770524 | Association | FAS | CXCR4
9770524 | Association | FAS | CD4
9770524 | Association | ITIH4 | CXCR4
9770524 | Association | Acquired Immunodeficiency Syndrome | CXCR4
8995702 | Association | CXCR4 | CD4
8995702 | Association | Immunoglobulin G4-Related Disease | CD4
8995702 | Association | Immunoglobulin G4-Related Disease | CXCR4
16918819 | Positive_Correlation | CD8A | TNFRSF8
16918819 | Positive_Correlation | CTLA4 | CD4
16918819 | Positive_Correlation | B3GAT1 | CD4
16918819 | Negative_Correlation | CD4 | CD28
16918819 | Association | Granulomatosis with Polyangiitis | CD4
16918819 | Association | Granulomatosis with Polyangiitis | CTLA4
16918819 | Positive_Correlation | CTLA4 | CD8A
16918819 | Positive_Correlation | CCR5 | CD4
16918819 | Negative_Correlation | CD8A | CD28
16918819 | Positive_Correlation | TNFRSF9 | CD8A
16918819 | Positive_Correlation | TNFSF9 | CD8A
16918819 | Positive_Correlation | TNFRSF4 | CD8A
16918819 | Association | Granulomatosis with Polyangiitis | CD8A
38427640 | Association | HIV Infections | CD4
26154172 | Bind | CCR5 | CCL5
26154172 | Negative_Correlation | Infections | CCR5
26154172 | Association | HIV Infections | CCR5
38643381 | Positive_Correlation | cenicriviroc | EGR2
38643381 | Negative_Correlation | cenicriviroc | Non-alcoholic Fatty Liver Disease
38643381 | Association | Inflammation | IFNG
38643381 | Association | Crohn Disease | CD4
38643381 | Positive_Correlation | cenicriviroc | MAF
38643381 | Negative_Correlation | cenicriviroc | IFNG
38643381 | Positive_Correlation | cenicriviroc | PRDM1
38643381 | Negative_Correlation | cenicriviroc | Inflammation
38643381 | Negative_Correlation | cenicriviroc | Liver Failure
38643381 | Positive_Correlation | cenicriviroc | IL10
38643381 | Association | Crohn Disease | CCR5
38643381 | Association | Inflammatory Bowel Diseases | CCR5
38643381 | Association | Liver Failure | CCR5
38643381 | Association | Crohn Disease | CCR2
38643381 | Association | Colitis | IL1B
38643381 | Negative_Correlation | cenicriviroc | Weight Loss
38643381 | Negative_Correlation | cenicriviroc | Colitis
38643381 | Negative_Correlation | cenicriviroc | IL17A
38643381 | Negative_Correlation | cenicriviroc | IL1B
38643381 | Association | Inflammatory Bowel Diseases | CCR2
38643381 | Association | Liver Failure | CCR2
38643381 | Association | Liver Cirrhosis | CCR5
38643381 | Association | Colitis | IFNG
38643381 | Positive_Correlation | cenicriviroc | IRF1
38643381 | Association | Inflammation | IL1B
38643381 | Association | Colitis | IL17A
38643381 | Negative_Correlation | cenicriviroc | IL6
38643381 | Negative_Correlation | cenicriviroc | Liver Cirrhosis
38643381 | Association | Liver Cirrhosis | CCR2
38643381 | Negative_Correlation | cenicriviroc | CCR5
38643381 | Positive_Correlation | cenicriviroc | BATF
38643381 | Association | Inflammation | IL17A
38643381 | Association | Inflammation | IL6
38643381 | Negative_Correlation | cenicriviroc | CCR2
9295051 | Association | Cxcr4 | CD4
9295051 | Association | CXCR4 | CD4
2939279 | Comparison | Azathioprine | Cyclosporine
37696048 | Association | Sugars | env
37696048 | Bind | ERVK-20 | CD4
37696048 | Association | Polysaccharides | ITIH4
37696048 | Association | Carbohydrates | env
37696048 | Bind | ERVK-20 | ITIH4
37696048 | Bind | CCR5 | env
37696048 | Association | Polysaccharides | ERVK-20
37696048 | Bind | env | CXCR4
37696048 | Association | Polysaccharides | env
37696048 | Bind | env | CD4
37696048 | Bind | ERVK-20 | CCR5
37696048 | Bind | ERVK-20 | CXCR4
38480731 | Association | TRBV20OR9-2 | CD4
38480731 | Association | Neoplasms | TRBV20OR9-2
38480731 | Association | Uterine Cervical Neoplasms | TRBV20OR9-2
38480731 | Association | Papillomavirus Infections | TRBV20OR9-2
38480731 | Association | TRBV20OR9-2 | CD8A
38480731 | Association | Neoplasms | CD4
38480731 | Association | Neoplasms | CD8A
10820198 | Negative_Correlation | Neurotoxicity Syndromes | CCL5
10820198 | Bind | CCL5 | CXCR4
10820198 | Bind | CCR5 | CCL4
10820198 | Negative_Correlation | HIV Infections | CCL3
10820198 | Association | HIV Infections | CCR5
10820198 | Association | CCR5 | ITIH4
10820198 | Association | ITIH4 | CXCR4
10820198 | Association | Neuroblastoma | ITIH4
10820198 | Negative_Correlation | HIV Infections | CXCL8
10820198 | Negative_Correlation | Neurotoxicity Syndromes | CXCL8
10820198 | Positive_Correlation | CCL3 | CXCR4
10820198 | Negative_Correlation | CXCL8 | ITIH4
10820198 | Positive_Correlation | Nerve Degeneration | ITIH4
10820198 | Positive_Correlation | Neurotoxicity Syndromes | ITIH4
10820198 | Negative_Correlation | HIV Infections | CCL4
10820198 | Negative_Correlation | Tetradecanoylphorbol Acetate | CXCR4
10820198 | Negative_Correlation | Tetradecanoylphorbol Acetate | ITIH4
10820198 | Bind | CCL4 | CXCR4
10820198 | Negative_Correlation | Tetradecanoylphorbol Acetate | CCR5
10820198 | Negative_Correlation | HIV Infections | CCL5
10820198 | Association | Neuroblastoma | CXCR4
10820198 | Bind | CCR5 | CCL5
10820198 | Bind | CCR5 | CCL3
10820198 | Association | Neurologic Manifestations | ITIH4
10820198 | Association | Neuroblastoma | CCR5
10820198 | Negative_Correlation | ITIH4 | CCL5
37151698 | Association | Intellectual Disability | DISC1
37151698 | Positive_Correlation | Adenocarcinoma Mucinous | DISC1
37151698 | Association | Stomach Neoplasms | DISC1
37151698 | Positive_Correlation | Neoplasms | DISC1
37151698 | Positive_Correlation | DISC1 | CXCR4
22140264 | Association | Osteosarcoma | CD4
38298433 | Association | Neoplasms | CD8A
24330967 | Association | Sincalide | Pancreatic Neoplasms
24330967 | Association | Pancreatic Neoplasms | CXCL12
24330967 | Negative_Correlation | plerixafor | Pancreatic Neoplasms
24330967 | Association | Pancreatic Neoplasms | CXCR4
38570727 | Association | GZMH | CD8A
38570727 | Association | IFNG | CD8A
38570727 | Association | GZMB | CD8A
29221851 | Association | Toxoplasmosis Ocular | CCR5
29221851 | Association | g.59029A>G | Inflammation
29221851 | Positive_Correlation | g.59029A>G | Toxoplasmosis Ocular
29221851 | Association | Communicable Diseases | CCR5
29221851 | Association | #1234# | Inflammation
29221851 | Positive_Correlation | #1234# | Toxoplasmosis Ocular
29221851 | Association | Inflammation | CCR5
34744730 | Negative_Correlation | LIT-927 | Lupus Erythematosus Systemic
34744730 | Negative_Correlation | LIT-927 | Cxcl12
34744730 | Association | Lupus Erythematosus Systemic | Cxcr4
34744730 | Association | Inflammation | Cxcl12
34744730 | Association | Inflammation | Cxcr4
34744730 | Association | Lupus Erythematosus Systemic | Cxcl12
34744730 | Positive_Correlation | plerixafor | Ackr3
34744730 | Bind | Cxcr4 | Cxcl12
34744730 | Negative_Correlation | plerixafor | Cxcr4
34744730 | Association | Lupus Erythematosus Systemic | Fas
15595835 | Bind | Histidine | c.213G>C
15595835 | Bind | Histidine | p.V300C
15595835 | Association | Leucine | c.315T>C
15595835 | Association | Glycine | Phenylalanine
15595835 | Association | Histidine | p.D216V
15595835 | Association | Leucine | p.D216V
15595835 | Association | 2 3-methanophenylalanine | c.213G>C
15595835 | Association | JOM 6 | p.E229D
15595835 | Association | 2 3-methanophenylalanine | c.315T>C
15595835 | Association | Leucine | p.C2F
15595835 | Association | Histidine | p.W318L
15595835 | Association | 2 3-methanophenylalanine | p.D216V
15595835 | Association | Histidine | c.315T>C
15595835 | Association | Phenylalanine | Tryptophan
15595835 | Association | 2 3-methanophenylalanine | p.C2F
15595835 | Bind | JOM 6 | p.C2F
15595835 | Association | Metals | p.V300C
15595835 | Association | 2 3-methanophenylalanine | p.W318L
15595835 | Association | Leucine | c.213G>C
15595835 | Association | Phenylalanine | Threonine
15595835 | Bind | Histidine | p.C2F
1468595 | Negative_Correlation | Thyroxine | Congenital Hypothyroidism
1468595 | Negative_Correlation | Thyroxine | Constipation
1468595 | Negative_Correlation | Thyroxine | Jaundice
38507500 | Negative_Correlation | tofacitinib | HIV Infections
38507500 | Association | CCR5 | STAT5B
38507500 | Positive_Correlation | STAT5B | CCR2
38507500 | Positive_Correlation | JAK2 | CCR2
38507500 | Association | CCR5 | CD4
38507500 | Negative_Correlation | ruxolitinib | CCR5
38507500 | Negative_Correlation | ruxolitinib | HIV Infections
38507500 | Association | HIV Infections | CD4
38507500 | Association | SGK1 | CCR2
38507500 | Association | HIV Infections | CCR5
38507500 | Association | CCR5 | SGK1
38507500 | Negative_Correlation | tofacitinib | CCR5
38507500 | Positive_Correlation | STAT5A | CCR2
28963085 | Positive_Correlation | Overweight | IL6
28963085 | Association | Obesity | CCR5
28963085 | Negative_Correlation | Overweight | IL2
28963085 | Association | Overweight | CCR5
28963085 | Association | Pulmonary Disease Chronic Obstructive | IL6
28963085 | Association | Pulmonary Disease Chronic Obstructive | IL2RA
28963085 | Positive_Correlation | Obesity | IL6
28963085 | Negative_Correlation | Pulmonary Disease Chronic Obstructive | IL2
