32784646 | @DISEASE_Neoplasms | Neoplasms | 293 | 5 | Disease | disease | tumor
32784646 | @CHEMICAL_Oxygen | Oxygen | 370 | 6 | Chemical | chemical | oxygen
32784646 | @DISEASE_Neoplasms | Neoplasms | 395 | 5 | Disease | disease | tumor
32784646 | @DISEASE_Neoplasms | Neoplasms | 448 | 5 | Disease | disease | tumor
32784646 | @GENE_MSX1 | Msx1 | 464 | 4 | Gene | gene | Msx1
32784646 | @GENE_MSX1 | Msx1 | 547 | 4 | Gene | gene | Msx1
32784646 | @GENE_MSX1 | Msx1 | 587 | 4 | Gene | gene | Msx1
32784646 | @GENE_MSX1 | Msx1 | 643 | 4 | Gene | gene | Msx1
32784646 | @GENE_MSX1 | Msx1 | 730 | 4 | Gene | gene | Msx1
32784646 | @GENE_MSX1 | Msx1 | 811 | 4 | Gene | gene | Msx1
32784646 | @GENE_MSX1 | Msx1 | 991 | 4 | Gene | gene | Msx1
32784646 | @GENE_PIAS4 | Pias4 | 1079 | 5 | Gene | gene | PIASy
32784646 | @GENE_PIAS4 | Pias4 | 1086 | 37 | Gene | gene | protein inhibitor of activated STAT Y
32784646 | @GENE_MSX1 | Msx1 | 1136 | 4 | Gene | gene | Msx1
32784646 | @GENE_MSX1 | Msx1 | 1191 | 4 | Gene | gene | Msx1
32784646 | @GENE_PIAS4 | Pias4 | 1225 | 5 | Gene | gene | PIASy
32784646 | @GENE_MSX1 | Msx1 | 1330 | 4 | Gene | gene | Msx1
32784646 | @GENE_VEGFA | VEGFA | 1371 | 4 | Gene | gene | VEGF
32784646 | @GENE_PIAS4 | Pias4 | 1392 | 5 | Gene | gene | PIASy
32784646 | @GENE_MSX1 | Msx1 | 1409 | 4 | Gene | gene | Msx1
32784646 | @GENE_MSX1 | MSX1 | 1447 | 4 | Gene | gene | Msx1
32784646 | @GENE_PIAS4 | Pias4 | 1474 | 5 | Gene | gene | PIASy
32784646 | @GENE_MSX1 | Msx1 | 1548 | 4 | Gene | gene | Msx1
32784646 | @GENE_PIAS4 | Pias4 | 1612 | 5 | Gene | gene | PIASy
32784646 | @GENE_MSX1 | Msx1 | 1618 | 4 | Gene | gene | Msx1
