7617661 | @DISEASE_Brain_Neoplasms | Brain Neoplasms | 1071 | 12 | Disease | disease | brain tumors
7617661 | @GENE_CD8A | CD8A | 1173 | 3 | Gene | gene | CD8
7617661 | @GENE_CD4 | CD4 | 1179 | 3 | Gene | gene | CD4
7617661 | @DISEASE_Brain_Neoplasms | Brain Neoplasms | 1296 | 12 | Disease | disease | brain tumors
7617661 | @DISEASE_Brain_Neoplasms | Brain Neoplasms | 1458 | 12 | Disease | disease | brain tumors
7617661 | @DISEASE_Brain_Neoplasms | Brain Neoplasms | 1544 | 11 | Disease | disease | brain tumor
7617661 | @DISEASE_Brain_Neoplasms | Brain Neoplasms | 1580 | 12 | Disease | disease | brain tumors
7617661 | @GENE_HLA_A | HLA-A | 1649 | 13 | Gene | gene | HLA-A, -B, -C
7617661 | @DISEASE_Neoplasms | Neoplasms | 1734 | 5 | Disease | disease | tumor
1716736 | @GENE_SSB | ssb | 1088 | 3 | Gene | gene | SSB
1716736 | @GENE_C1QBP | C1QBP | 1119 | 3 | Gene | gene | p32
2952796 | @DISEASE_Rheumatic_Heart_Disease | Rheumatic Heart Disease | 29 | 23 | Disease | disease | rheumatic heart disease
2952796 | @DISEASE_Rheumatic_Heart_Disease | Rheumatic Heart Disease | 236 | 23 | Disease | disease | rheumatic heart disease
2952796 | @DISEASE_Tonsillitis | Tonsillitis | 354 | 11 | Disease | disease | tonsillitis
2952796 | @DISEASE_Rheumatic_Fever | Rheumatic Fever | 394 | 15 | Disease | disease | rheumatic fever
2952796 | @DISEASE_Rheumatic_Heart_Disease | Rheumatic Heart Disease | 413 | 23 | Disease | disease | rheumatic heart disease
2952796 | @GENE_CD8B | CD8B | 489 | 5 | Gene | gene | Lyt-3
2952796 | @DISEASE_Rheumatic_Heart_Disease | Rheumatic Heart Disease | 630 | 23 | Disease | disease | rheumatic heart disease
2952796 | @DISEASE_Rheumatic_Heart_Disease | Rheumatic Heart Disease | 872 | 23 | Disease | disease | rheumatic heart disease
26429413 | @DISEASE_Inflammation | Inflammation | 19 | 12 | Disease | disease | inflammatory
26429413 | @DISEASE_Vipoma | Vipoma | 533 | 15 | Disease | disease | watery diarrhea
26429413 | @CHEMICAL_moxidectin | moxidectin | 696 | 10 | Chemical | chemical | moxidectin
26429413 | @CHEMICAL_Fenbendazole | Fenbendazole | 733 | 12 | Chemical | chemical | fenbendazole
26429413 | @DISEASE_Inflammation | Inflammation | 780 | 12 | Disease | disease | inflammatory
26429413 | @DISEASE_Inflammation | Inflammation | 940 | 12 | Disease | disease | inflammatory
26429413 | @DISEASE_Inflammation | Inflammation | 1149 | 12 | Disease | disease | inflammatory
26429413 | @DISEASE_Infections | Infections | 1311 | 23 | Disease | disease | cyathostomin infections
26429413 | @CHEMICAL_Fenbendazole | Fenbendazole | 1470 | 12 | Chemical | chemical | fenbendazole
26429413 | @CHEMICAL_moxidectin | moxidectin | 1527 | 10 | Chemical | chemical | moxidectin
26429413 | @CHEMICAL_Iron | Iron | 1843 | 4 | Chemical | chemical | iron
26429413 | @GENE_IFNG | IFNG | 1901 | 16 | Gene | gene | interferon gamma
26429413 | @GENE_TNF | TNF | 1919 | 27 | Gene | gene | tumor necrosis factor alpha
26429413 | @GENE_IL1B | IL1B | 1991 | 35 | Gene | gene | interleukins 1beta, 4, 5, 6, and 10
26429413 | @GENE_FOXP3 | FOXP3 | 2065 | 5 | Gene | gene | FoxP3
26429413 | @GENE_GATA3 | GATA3 | 2072 | 5 | Gene | gene | GATA3
26429413 | @GENE_CD163 | CD163 | 2112 | 5 | Gene | gene | CD163
26429413 | @GENE_CD4 | CD4 | 2125 | 3 | Gene | gene | CD4
26429413 | @GENE_CD40 | CD40 | 2130 | 4 | Gene | gene | CD40
26429413 | @GENE_CD8B | CD8B | 2140 | 4 | Gene | gene | CD8b
26429413 | @DISEASE_Inflammation | Inflammation | 2173 | 12 | Disease | disease | inflammatory
26429413 | @CHEMICAL_moxidectin | moxidectin | 2286 | 10 | Chemical | chemical | moxidectin
26429413 | @CHEMICAL_Fenbendazole | Fenbendazole | 2355 | 12 | Chemical | chemical | fenbendazole
26429413 | @GENE_IL5 | IL5 | 2429 | 4 | Gene | gene | IL-5
26429413 | @DISEASE_Inflammation | Inflammation | 2554 | 12 | Disease | disease | inflammatory
26429413 | @CHEMICAL_moxidectin | moxidectin | 2579 | 10 | Chemical | chemical | moxidectin
38529287 | @GENE_CD4 | Cd4 | 1454 | 3 | Gene | gene | CD4
38529287 | @GENE_CD8A | Cd8a | 1464 | 8 | Gene | gene | CD8alpha
38529287 | @GENE_CD8B1 | Cd8b1 | 1479 | 7 | Gene | gene | CD8beta
38529287 | @GENE_CD247 | Cd247 | 1520 | 3 | Gene | gene | CD3
24116565 | @CHEMICAL_Bromine | Bromine | 48 | 7 | Chemical | chemical | bromine
