37072753 | @DISEASE_COVID_19 | COVID-19 | 430 | 8 | Disease | disease | Covid-19
37072753 | @DISEASE_COVID_19 | COVID-19 | 592 | 8 | Disease | disease | Covid-19
37072753 | @DISEASE_Infections | Infections | 874 | 9 | Disease | disease | infection
37072753 | @DISEASE_Infections | Infections | 1077 | 9 | Disease | disease | infection
37072753 | @DISEASE_COVID_19 | COVID-19 | 1393 | 8 | Disease | disease | Covid-19
37072753 | @DISEASE_Death | Death | 1410 | 6 | Disease | disease | deaths
37072753 | @DISEASE_Neoplasms | Neoplasms | 1465 | 13 | Disease | disease | cancer deaths
37072753 | @DISEASE_Death | Death | 2414 | 6 | Disease | disease | deaths
33633563 | @DISEASE_Depressive_Disorder | Depressive Disorder | 66 | 10 | Disease | disease | Depression
33633563 | @DISEASE_Depressive_Disorder | Depressive Disorder | 300 | 10 | Disease | disease | depression
33633563 | @DISEASE_Depressive_Disorder | Depressive Disorder | 312 | 3 | Disease | disease | EOD
33633563 | @DISEASE_Depressive_Disorder | Depressive Disorder | 332 | 10 | Disease | disease | depression
33633563 | @DISEASE_Late_Onset_Disorders | Late Onset Disorders | 344 | 3 | Disease | disease | LOD
33633563 | @DISEASE_Depressive_Disorder | Depressive Disorder | 481 | 3 | Disease | disease | EOD
33633563 | @DISEASE_Late_Onset_Disorders | Late Onset Disorders | 489 | 3 | Disease | disease | LOD
33633563 | @DISEASE_Death | Death | 587 | 4 | Disease | disease | life
33633563 | @DISEASE_Depressive_Disorder | Depressive Disorder | 592 | 10 | Disease | disease | depression
33633563 | @DISEASE_Depressive_Disorder | Depressive Disorder | 604 | 3 | Disease | disease | EOD
33633563 | @DISEASE_Late_Onset_Disorders | Late Onset Disorders | 612 | 3 | Disease | disease | LOD
33633563 | @DISEASE_Depressive_Disorder | Depressive Disorder | 1215 | 3 | Disease | disease | EOD
33633563 | @DISEASE_Late_Onset_Disorders | Late Onset Disorders | 1246 | 3 | Disease | disease | LOD
33633563 | @DISEASE_Depressive_Disorder | Depressive Disorder | 1610 | 3 | Disease | disease | EOD
33633563 | @DISEASE_Late_Onset_Disorders | Late Onset Disorders | 1618 | 3 | Disease | disease | LOD
33633563 | @DISEASE_Depressive_Disorder | Depressive Disorder | 1740 | 3 | Disease | disease | EOD
33633563 | @DISEASE_Late_Onset_Disorders | Late Onset Disorders | 1748 | 3 | Disease | disease | LOD
38396379 | @DISEASE_COVID_19 | COVID-19 | 1215 | 8 | Disease | disease | COVID-19
31743425 | @GENE_MICA | MICA | 47 | 7 | Gene | gene | MIC-A/B
31743425 | @DISEASE_Infections | Infections | 321 | 9 | Disease | disease | infection
31743425 | @GENE_MICA | MICA | 650 | 33 | Gene | gene | MHC class-1-related chain (MIC) A
31743425 | @GENE_MICB | MICB | 688 | 5 | Gene | gene | MIC-B
31743425 | @GENE_IL12B | IL12B | 709 | 5 | Gene | gene | IL-12
31743425 | @GENE_STAT3 | STAT3 | 772 | 6 | Gene | gene | STAT-3
31743425 | @GENE_MICA | MICA | 849 | 7 | Gene | gene | MIC-A/B
31743425 | @GENE_IFNG | IFNG | 952 | 9 | Gene | gene | IFN-gamma
31743425 | @GENE_TNF | TNF | 966 | 9 | Gene | gene | TNF-alpha
31743425 | @DISEASE_Drug_Related_Side_Effects_and_Adverse_Reactions | Drug-Related Side Effects and Adverse Reactions | 1013 | 12 | Disease | disease | cytotoxicity
31743425 | @GENE_MICA | MICA | 1087 | 7 | Gene | gene | MIC-A/B
36043467 | @CHEMICAL_imidazole | imidazole | 54 | 9 | Chemical | chemical | Imidazole
36043467 | @CHEMICAL_Amines | Amines | 261 | 6 | Chemical | chemical | amines
36043467 | @CHEMICAL_Quinuclidines | Quinuclidines | 332 | 12 | Chemical | chemical | quinuclidine
