28798155 | Negative_Correlation | T0901317 | Ifng
28798155 | Positive_Correlation | fludarabine | Nr1h3
28798155 | Negative_Correlation | 4-phenylbutyric acid | Cd68
28798155 | Negative_Correlation | T0901317 | Ddit3
28798155 | Negative_Correlation | 4-phenylbutyric acid | Ddit3
28798155 | Association | Stat1 | Nr1h3
28798155 | Negative_Correlation | 4-phenylbutyric acid | Hyperplasia
28798155 | Negative_Correlation | T0901317 | Hyperplasia
28798155 | Positive_Correlation | Ifng | Nr1h3
28798155 | Negative_Correlation | fludarabine | Stat1
28798155 | Association | Hyperplasia | Nr1h3
28798155 | Positive_Correlation | Hyperplasia | Ifng
28798155 | Negative_Correlation | 4-phenylbutyric acid | Ifng
28798155 | Negative_Correlation | T0901317 | Cd68
28798155 | Positive_Correlation | Cd68 | Ifng
28798155 | Negative_Correlation | Nr1h3 | Pias1
28798155 | Association | Ifng | Pias1
28798155 | Positive_Correlation | Ddit3 | Ifng
28798155 | Association | Ifng | Stat1
35379174 | Association | Colorectal Neoplasms | SMCO1
35379174 | Negative_Correlation | Colorectal Neoplasms | HLA-C
35379174 | Association | Neoplasms | EGFR
35379174 | Association | EGFR | HLA-C
35379174 | Association | Colorectal Neoplasms | NUTM1
16689660 | Association | Irf1 | Tnfrsf1b
16689660 | Association | Lung Diseases | Tnf
16689660 | Association | Lung Diseases | Gbp2
16689660 | Association | Irf1 | Stat1
16689660 | Association | Lung Diseases | Jun
16689660 | Association | Lung Diseases | Irf1
16689660 | Positive_Correlation | Ccl2 | Tnf
16689660 | Positive_Correlation | Cxcl2 | Tnf
16689660 | Association | Lung Diseases | Stat1
16689660 | Association | Gbp2 | Stat1
16689660 | Association | Lung Diseases | Nfkb1
25475418 | Association | c.1896G>A | Liver Diseases
25475418 | Positive_Correlation | #4297# | Virus Diseases
25475418 | Positive_Correlation | #4297# | Carcinoma Hepatocellular
25475418 | Positive_Correlation | Hepatitis B | p.M204V
25475418 | Association | c.1896G>A | Carcinogenesis
25475418 | Association | Carcinogenesis | #4297#
25475418 | Association | Hepatitis B | HLA-A
25475418 | Association | Carcinogenesis | p.M204I
25475418 | Association | Carcinogenesis | p.M204V
25475418 | Association | Hepatitis B | KIF1B
25475418 | Association | Hepatitis B | HLA-DPB1
25475418 | Association | Hepatitis B | MICA
25475418 | Association | Liver Diseases | p.M204V
25475418 | Positive_Correlation | Virus Diseases | #4297#
25475418 | Positive_Correlation | Carcinoma Hepatocellular | #4297#
25475418 | Association | Carcinoma Hepatocellular | p.M204V
25475418 | Association | Hepatitis B | PNPLA3
25475418 | Association | Hepatitis B | DEPDC5
25475418 | Association | Carcinoma Hepatocellular | KMT2A
25475418 | Association | Liver Diseases | KIF1B
25475418 | Association | Virus Diseases | KMT2A
25475418 | Association | Hepatitis B | TP53
25475418 | Association | Carcinogenesis | KIF1B
25475418 | Association | Carcinogenesis | KMT2A
25475418 | Association | Carcinogenesis | TP53
25475418 | Association | Liver Diseases | TP53
25475418 | Association | Carcinoma Hepatocellular | TP53
24058775 | Association | IL6 | STAT3
24058775 | Association | SH2B3 | STAT3
24058775 | Association | PIAS3 | STAT3
24058775 | Association | Neutropenia | STAT3
24058775 | Association | Autoimmune Diseases | STAT3
24058775 | Association | CISH | STAT3
24058775 | Association | Leukemia Large Granular Lymphocytic | CD8A
24058775 | Association | IgA Vasculitis | STAT3
24058775 | Association | STAT3 | CD8A
24058775 | Association | Leukemia Large Granular Lymphocytic | STAT3
37762054 | Association | Neoplasms | CD8A
31103287 | Association | Infertility Male | NMNAT3
31103287 | Association | Infertility Male | HLA-C
31103287 | Association | Infertility Male | HLA-DRB6
31103287 | Association | Infertility Male | WWP2
31103287 | Association | Infertility Male | NFATC1
31103287 | Association | Infertility Male | GAA
31103287 | Association | Infertility Male | RNF39
31103287 | Association | Infertility Male | TRIM27
31103287 | Association | Infertility Male | WDR36
31103287 | Association | Infertility Male | HDAC4
31103287 | Association | Infertility Male | SRPK2
31103287 | Association | Infertility Male | FNDC3B
31103287 | Association | Infertility Male | AGPAT3
31103287 | Association | Infertility Male | PIAS2
31103287 | Association | Infertility Male | RPH3AL
31103287 | Association | Infertility Male | PTPRN2
31103287 | Association | Infertility Male | HLA-A
31103287 | Association | Infertility Male | IRS2
31103287 | Association | Infertility Male | TALDO1
31103287 | Association | Infertility Male | KDM4C
27480135 | Positive_Correlation | Muscular Atrophy | TNF
27480135 | Association | NFKB1 | TNF
27480135 | Positive_Correlation | HLA-A | TNF
27480135 | Positive_Correlation | HLA-C | TNF
27480135 | Association | Cholesterol | Myocardial Infarction
27480135 | Association | MYOG | TNF
27480135 | Positive_Correlation | HLA-B | TNF
27480135 | Association | MYOD1 | TNF
27480135 | Positive_Correlation | HLA-G | TNF
27480135 | Association | Cachexia | TNF
19089914 | Negative_Correlation | IFNG | ULBP2
19089914 | Association | Neoplasms | Klrk1
19089914 | Association | Melanoma | IFNG
19089914 | Association | Neoplasm Metastasis | ULBP2
19089914 | Association | Melanoma | KLRC1
19089914 | Association | IFNG | STAT1
19089914 | Association | Melanoma | KLRK1
19089914 | Negative_Correlation | MICA | IFNG
19089914 | Association | KLRK1 | CD8A
19089914 | Association | Neoplasms | KLRK1
19089914 | Negative_Correlation | KLRK1 | IFNG
32393046 | Association | PRKCQ | VEGFA
32393046 | Association | ZEB1 | TRAF1
32393046 | Association | TP53 | VEGFA
32393046 | Association | AKT1 | PDGFRB
32393046 | Association | PRKCQ | AHRR
32393046 | Association | TP53 | XRCC2
32393046 | Association | ZEB1 | ZEB2
32393046 | Association | TREM1 | PRKCQ
32393046 | Association | PDGFRB | TRAF1
32393046 | Association | PRKCQ | TP53
32393046 | Association | TRAF1 | VCAM1
32393046 | Association | TRIAP1 | PRKCQ
32393046 | Association | PDGFRB | XRCC2
32393046 | Association | TRIAP1 | VEGFA
32393046 | Association | TREM1 | TNF
32393046 | Association | YBX2 | TP53
32393046 | Association | AKT1 | VCAM1
32393046 | Association | PRKCQ | ZEB1
32393046 | Association | TREM1 | XRCC2
32393046 | Association | TP53 | TRAF1
32393046 | Association | TNF | TP53
32393046 | Association | VCAM1 | VEGFA
32393046 | Association | TRAF1 | ZEB2
32393046 | Association | TNF | ZEB2
32393046 | Association | YBX2 | TRAF1
32393046 | Association | ZEB1 | TNF
32393046 | Association | TREM1 | TRAF1
32393046 | Association | YBX2 | ZEB1
32393046 | Association | ZEB1 | VEGFA
32393046 | Association | TRIAP1 | TREM1
32393046 | Association | AKT1 | YBX2
32393046 | Association | VEGFA | ZEB2
32393046 | Association | ZEB1 | XRCC2
32393046 | Association | AKT1 | TREM1
32393046 | Association | PDGFRB | TREM1
32393046 | Association | TRIAP1 | ZEB1
32393046 | Association | AKT1 | TP53
32393046 | Association | PRKCQ | XRCC2
32393046 | Association | TNF | VCAM1
32393046 | Association | YBX2 | VEGFA
32393046 | Association | TP53 | VCAM1
32393046 | Association | TNF | TRAF1
32393046 | Association | PDGFRB | ZEB1
32393046 | Association | PRKCQ | ZEB2
32393046 | Association | PDGFRB | PRKCQ
32393046 | Association | PDGFRB | VCAM1
32393046 | Association | XRCC2 | ZEB2
32393046 | Association | YBX2 | XRCC2
32393046 | Association | TRAF1 | VEGFA
32393046 | Association | VCAM1 | XRCC2
32393046 | Association | AKT1 | VEGFA
32393046 | Association | TRIAP1 | TP53
32393046 | Association | PRKCQ | TNF
32393046 | Association | YBX2 | PRKCQ
32393046 | Association | TRIAP1 | XRCC2
32393046 | Association | AKT1 | XRCC2
32393046 | Association | AKT1 | TRAF1
32393046 | Association | AKT1 | TRIAP1
