38646919 | Negative_Correlation | ruxolitinib | Hematologic Diseases
38646919 | Negative_Correlation | 11-(2-pyrrolidin-1-ylethoxy)-14 19-dioxa-5 7 26-triazatetracyclo(19.3.1.1(2 6).1(8 12))heptacosa-1(25) 2(26) 3 5 8 10 12(27) 16 21 23-decaene | Thrombocytopenia
38646919 | Negative_Correlation | 4(2'-aminoethyl)amino-1 8-dimethylimidazo(1 2-a)quinoxaline | Bone Marrow Diseases
38646919 | Association | Anemia | NFKB1
38646919 | Association | Osteosclerosis | NFKB1
38646919 | Negative_Correlation | MIR146A | NFKB1
38646919 | Negative_Correlation | fedratinib | Primary Myelofibrosis
38646919 | Association | Inflammation | IL1B
38646919 | Association | Inflammation | NFKB1
38646919 | Negative_Correlation | 4(2'-aminoethyl)amino-1 8-dimethylimidazo(1 2-a)quinoxaline | TNF
38646919 | Positive_Correlation | IL1B | NFKB1
38646919 | Negative_Correlation | 11-(2-pyrrolidin-1-ylethoxy)-14 19-dioxa-5 7 26-triazatetracyclo(19.3.1.1(2 6).1(8 12))heptacosa-1(25) 2(26) 3 5 8 10 12(27) 16 21 23-decaene | Bone Marrow Diseases
38646919 | Negative_Correlation | 11-(2-pyrrolidin-1-ylethoxy)-14 19-dioxa-5 7 26-triazatetracyclo(19.3.1.1(2 6).1(8 12))heptacosa-1(25) 2(26) 3 5 8 10 12(27) 16 21 23-decaene | Fibrosis
38646919 | Association | Fibrosis | NFKB1
38646919 | Negative_Correlation | 11-(2-pyrrolidin-1-ylethoxy)-14 19-dioxa-5 7 26-triazatetracyclo(19.3.1.1(2 6).1(8 12))heptacosa-1(25) 2(26) 3 5 8 10 12(27) 16 21 23-decaene | IL1B
38646919 | Association | Inflammation | TNF
38646919 | Negative_Correlation | 4(2'-aminoethyl)amino-1 8-dimethylimidazo(1 2-a)quinoxaline | Thrombocytopenia
38646919 | Association | Thrombocytopenia | NFKB1
38646919 | Negative_Correlation | 11-(2-pyrrolidin-1-ylethoxy)-14 19-dioxa-5 7 26-triazatetracyclo(19.3.1.1(2 6).1(8 12))heptacosa-1(25) 2(26) 3 5 8 10 12(27) 16 21 23-decaene | JAK2
38646919 | Negative_Correlation | 11-(2-pyrrolidin-1-ylethoxy)-14 19-dioxa-5 7 26-triazatetracyclo(19.3.1.1(2 6).1(8 12))heptacosa-1(25) 2(26) 3 5 8 10 12(27) 16 21 23-decaene | TNF
38646919 | Association | Bone Marrow Diseases | NFKB1
38646919 | Negative_Correlation | 11-(2-pyrrolidin-1-ylethoxy)-14 19-dioxa-5 7 26-triazatetracyclo(19.3.1.1(2 6).1(8 12))heptacosa-1(25) 2(26) 3 5 8 10 12(27) 16 21 23-decaene | NFKB1
38646919 | Negative_Correlation | 4(2'-aminoethyl)amino-1 8-dimethylimidazo(1 2-a)quinoxaline | Inflammation
38646919 | Negative_Correlation | fedratinib | Hematologic Diseases
38646919 | Association | NFKB1 | TNF
38646919 | Negative_Correlation | 11-(2-pyrrolidin-1-ylethoxy)-14 19-dioxa-5 7 26-triazatetracyclo(19.3.1.1(2 6).1(8 12))heptacosa-1(25) 2(26) 3 5 8 10 12(27) 16 21 23-decaene | Osteosclerosis
38646919 | Association | Primary Myelofibrosis | NFKB1
38646919 | Association | Fibrosis | JAK2
27658114 | Positive_Correlation | Bleomycin | Pulmonary Fibrosis
27658114 | Association | Tgfb1 | Pias4
38102979 | Association | AKT1 | NOS3
38102979 | Association | Cardiovascular Diseases | PIAS1
38102979 | Positive_Correlation | PIK3R1 | PIAS1
38102979 | Association | NOS3 | PIAS1
38102979 | Positive_Correlation | PTK2B | PIAS1
38102979 | Positive_Correlation | Nitric Oxide | PIAS1
38102979 | Association | Atherosclerosis | PIAS1
38102979 | Association | Vascular System Injuries | NOS3
38102979 | Negative_Correlation | Malondialdehyde | PIAS1
38102979 | Association | NOS3 | PIK3R1
38102979 | Association | AKT1 | PIAS1
38102979 | Association | Vascular Diseases | Pias1
38102979 | Association | PTK2B | NOS3
38102979 | Association | Hyperlipidemias | PIAS1
38102979 | Association | Vascular System Injuries | PIAS1
37839636 | Positive_Correlation | Tet3 | Zmiz1
37839636 | Association | Carcinogenesis | Zmiz1
37839636 | Association | Carcinogenesis | Tet3
37839636 | Association | Carcinoma Hepatocellular | Tet3
37839636 | Association | Notch1 | Tet3
37839636 | Association | Notch1 | Zmiz1
37839636 | Association | Carcinogenesis | Notch1
37839636 | Association | Carcinoma Hepatocellular | Zmiz1
32462635 | Association | Amyotrophic lateral sclerosis 1 | SUMO3
32462635 | Association | PIAS4 | SOD1
32462635 | Association | SENP1 | SOD1
32462635 | Association | Amyotrophic lateral sclerosis 1 | SOD1
32462635 | Association | SUMO3 | SOD1
32462635 | Association | Amyotrophic Lateral Sclerosis | SOD1
31273062 | Negative_Correlation | Cytarabine | Leukemia
31273062 | Association | Leukemia Biphenotypic Acute | Zbtb17
31273062 | Association | Cytarabine | Zbtb17
31273062 | Association | Neoplasms | Myc
31273062 | Association | Lymphoma | Zbtb17
31273062 | Association | Lymphoma B-Cell | Zbtb17
31273062 | Negative_Correlation | Cytarabine | Leukemia Biphenotypic Acute
31273062 | Association | Leukemia | Myc
31273062 | Negative_Correlation | Cytarabine | Lymphoma
27312341 | Association | PIAS4 | RNF4
27312341 | Association | Hypertrophy | PIAS4
27312341 | Association | Hypertrophy | NKX3-2
27312341 | Association | Hypertrophy | HDAC9
27312341 | Association | EP300 | NKX3-2
27312341 | Association | Hypertrophy | RNF4
27312341 | Association | NKX3-2 | RNF4
27312341 | Association | PIAS4 | NKX3-2
27312341 | Positive_Correlation | NKX3-2 | HDAC9
33327748 | Association | Atherosclerosis | Cxcr4
33327748 | Association | Vascular System Injuries | Cxcr4
33151932 | Association | Hirschsprung Disease | ABCD1
33151932 | Association | Hirschsprung Disease | ATP7A
33151932 | Association | Hirschsprung Disease | SREBF1
33151932 | Association | Hirschsprung Disease | PIAS2
34951052 | Negative_Correlation | Disease | p.S510G
34951052 | Negative_Correlation | Huntington Disease | p.S510G
34951052 | Positive_Correlation | polyglutamine | Genetic Diseases Inborn
34951052 | Association | HTT | PIAS1
34951052 | Association | Disease | PIAS1
34951052 | Association | Huntington Disease | PIAS1
34951052 | Association | Huntington Disease | HTT
26063058 | Association | STAT1 | NR1I2
26063058 | Association | SENP6 | SUMO3
26063058 | Association | SENP3 | SUMO3
26063058 | Association | PIAS4 | NR1I2
26063058 | Positive_Correlation | CYP4F3 | NR1I2
